Event 2 Completed at:20:39:04.047839
Event 2 NOT ATTEMPTED: 
20:39:10.020537700Event 2 NOT ATTEMPTED: 
20:39:20.020667Event 2 NOT ATTEMPTED: 
20:39:30.020820500Event 2 NOT ATTEMPTED: 
20:39:40.020893200Event 2 NOT ATTEMPTED: 
20:39:50.022689300Event 2 NOT ATTEMPTED: 
20:40:00.042731300Event 2 NOT ATTEMPTED: 
20:40:10.024321600Event 2 NOT ATTEMPTED: 
20:40:20.024034700Event 2 NOT ATTEMPTED: 
20:40:30.026845500Event 2 NOT ATTEMPTED: 
20:40:40.028546800Event 2 NOT ATTEMPTED: 
20:40:50.028143300Event 2 NOT ATTEMPTED: 
20:41:00.028641500Event 2 NOT ATTEMPTED: 
20:41:10.029902500Event 2 NOT ATTEMPTED: 
20:41:20.030682900Event 2 NOT ATTEMPTED: 
20:41:30.031637300Event 2 NOT ATTEMPTED: 
20:41:40.031755200Event 2 NOT ATTEMPTED: 
20:41:50.033647700Event 2 NOT ATTEMPTED: 
20:42:00.034196200Event 2 NOT ATTEMPTED: 
20:42:10.034492Event 2 NOT ATTEMPTED: 
20:45:10.016104Event 2 NOT ATTEMPTED: 
20:45:20.014580900Event 2 NOT ATTEMPTED: 
20:45:30.015000700
